0:0:0:0:0:0:0:1 - - [04/Nov/2015:10:17:50 +0530] "GET /Cleansheet/Capex.jsp HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [04/Nov/2015:10:17:51 +0530] "GET /Cleansheet/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:10:17:51 +0530] "GET /Cleansheet/js/jquery.min.js HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [04/Nov/2015:10:17:51 +0530] "GET /Cleansheet/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:10:17:51 +0530] "GET /Cleansheet/images/trucks.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:10:17:51 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [04/Nov/2015:10:31:54 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 3925
0:0:0:0:0:0:0:1 - - [04/Nov/2015:10:31:54 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:10:31:54 +0530] "GET /Cleansheet/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:10:31:54 +0530] "GET /Cleansheet/js/latlong1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:03:25 +0530] "GET /Cleansheet/Logout HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:03:25 +0530] "GET /Cleansheet/js/jquery.min.js HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:03:32 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 4263
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:03:36 +0530] "GET /Cleansheet/adminCapex.jsp HTTP/1.1" 200 8346
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:03:37 +0530] "GET /Cleansheet/modifyCapex.jsp HTTP/1.1" 200 7206
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:03:42 +0530] "POST /Cleansheet/modifyCapex_1.jsp HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:08:23 +0530] "POST /Cleansheet/modifyCapex_1.jsp HTTP/1.1" 200 4756
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:08:23 +0530] "GET /Cleansheet/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:08:23 +0530] "GET /Cleansheet/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:08:23 +0530] "GET /Cleansheet/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:14:36 +0530] "POST /Cleansheet/modifyCapex_1.jsp HTTP/1.1" 200 1999
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:45:50 +0530] "GET /Cleansheet/adminAuto.jsp HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:45:50 +0530] "GET /Cleansheet/js/jquery.min.js HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:45:55 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 3925
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:46:15 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:46:16 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:46:16 +0530] "GET /Cleansheet/js/latlong1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:46:16 +0530] "GET /Cleansheet/css/bootstrap.min.css HTTP/1.1" 200 150293
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:46:16 +0530] "GET /Cleansheet/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:46:16 +0530] "GET /Cleansheet/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:46:53 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:46:53 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:46:53 +0530] "GET /Cleansheet/js/latlong1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:46:53 +0530] "GET /Cleansheet/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:46:53 +0530] "GET /Cleansheet/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:46:53 +0530] "GET /Cleansheet/css/bootstrap.min.css HTTP/1.1" 200 150312
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:47:17 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:47:17 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:47:17 +0530] "GET /Cleansheet/js/latlong1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:47:17 +0530] "GET /Cleansheet/css/bootstrap.min.css HTTP/1.1" 200 150349
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:47:17 +0530] "GET /Cleansheet/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:47:17 +0530] "GET /Cleansheet/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:47:51 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:47:51 +0530] "GET /Cleansheet/js/latlong1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:47:51 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:47:51 +0530] "GET /Cleansheet/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:47:51 +0530] "GET /Cleansheet/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:47:51 +0530] "GET /Cleansheet/css/bootstrap.min.css HTTP/1.1" 200 150562
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:50:02 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:50:02 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:50:02 +0530] "GET /Cleansheet/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:50:02 +0530] "GET /Cleansheet/js/latlong1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:50:02 +0530] "GET /Cleansheet/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:50:02 +0530] "GET /Cleansheet/css/bootstrap.min.css HTTP/1.1" 200 150513
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:51:01 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 3880
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:51:02 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:51:02 +0530] "GET /Cleansheet/js/latlong1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:51:02 +0530] "GET /Cleansheet/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2015:11:51:02 +0530] "GET /Cleansheet/js/bootstrap.min.js HTTP/1.1" 304 -
