127.0.0.1 - - [20/Oct/2015:09:37:39 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:37:41 +0530] "GET /Cleansheet/ HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:37:49 +0530] "GET /Cleansheet/ HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:37:49 +0530] "GET /Cleansheet/css/style.css HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:37:49 +0530] "GET /Cleansheet/images/7253052_l.jpg HTTP/1.1" 200 415398
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:37:49 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:37:56 +0530] "GET /Cleansheet/variable.jsp HTTP/1.1" 500 2570
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:37:56 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:39:24 +0530] "GET /Cleansheet/variable.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:39:24 +0530] "GET /Cleansheet/index.jsp HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:39:24 +0530] "GET /Cleansheet/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:39:24 +0530] "GET /Cleansheet/images/7253052_l.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:39:24 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:39:34 +0530] "GET /Cleansheet/variable.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:39:34 +0530] "GET /Cleansheet/index.jsp HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:39:34 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:41:51 +0530] "GET /Cleansheet/ HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:42:01 +0530] "GET /Cleansheet/home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:42:01 +0530] "GET /Cleansheet/index.jsp HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:42:01 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:42:08 +0530] "GET /Cleansheet/Advanced.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:42:08 +0530] "GET /Cleansheet/index.jsp HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:42:08 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:42:15 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:42:16 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:42:22 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:42:23 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:42:40 +0530] "GET /Cleansheet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:42:40 +0530] "GET /Cleansheet/ HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:42:40 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:42:43 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:42:51 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:43:25 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:44:07 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:44:14 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 3535
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:44:21 +0530] "GET /Cleansheet/home.jsp HTTP/1.1" 500 2808
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:44:56 +0530] "GET /Cleansheet/Param.jsp HTTP/1.1" 500 2818
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:45:07 +0530] "GET /Cleansheet/Param.jsp HTTP/1.1" 500 2818
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:46:38 +0530] "GET /Cleansheet/Param.jsp HTTP/1.1" 500 2828
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:49:19 +0530] "GET /Cleansheet/Param.jsp HTTP/1.1" 500 2828
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:54:20 +0530] "GET /Cleansheet/Param.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:54:20 +0530] "GET /Cleansheet/Capex.jsp HTTP/1.1" 500 2521
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:56:03 +0530] "GET /Cleansheet/Capex.jsp HTTP/1.1" 500 2777
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:56:20 +0530] "GET /Cleansheet/Param.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:56:20 +0530] "GET /Cleansheet/Capex.jsp HTTP/1.1" 500 2777
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:56:44 +0530] "GET /Cleansheet/Capex.jsp HTTP/1.1" 500 2521
0:0:0:0:0:0:0:1 - - [20/Oct/2015:09:59:53 +0530] "GET /Cleansheet/Capex.jsp HTTP/1.1" 500 2777
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:00:09 +0530] "GET /Cleansheet/Param.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Oct/2015:10:00:09 +0530] "GET /Cleansheet/Capex.jsp HTTP/1.1" 500 2777
